Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SY,Syrian pound,"Based on data from the Central Bureau of Statistics, national accounts data have been revised for 2003 onward.",Middle East & North Africa,Lower middle income,SY,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1968 System of National Accounts methodology.,1970–2010,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2006","Expenditure survey/budget survey (ES/BS), 2004",,1981,2009,2010,2005
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,,Europe & Central Asia,Low income,TJ,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Living Standards Measurement Study Survey (LSMS), 2009","Living Standards Measurement Study Survey (LSMS), 2009",,2013,,2000,2006
TZA,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,,Sub-Saharan Africa,Low income,TZ,Original chained constant price data are rescaled.,2001,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2012,"HIV/AIDS Indicator Survey (AIS), 2011/12; Living Standards Measurement Study Survey (LSMS), 2010/11","Expenditure survey/budget survey (ES/BS), 2011",,2007/08,2007,2011,2002
THA,Thailand,Thailand,Kingdom of Thailand,TH,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,TH,1988,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2010",,2013,2006,2011,2007
GMB,The Gambia,"Gambia, The",Republic of The Gambia,GM,Gambian dalasi,"Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised for 2004 onward; the new base year is 2004.",Sub-Saharan Africa,Low income,GM,2004,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2003,"Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2010",,2001/02,2004,2011,2000
TGO,Togo,Togo,Republic of Togo,TG,CFA franc,"Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.",Sub-Saharan Africa,Low income,TG,2000,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2010","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011",,2011/12,,2011,2002
TON,Tonga,Tonga,Kingdom of Tonga,TO,Tongan pa'anga,"Fiscal year ends on June 30. Based on data from the National Bureau of Statistics, national accounts data have been revised; the new base year is 2010/11.",East Asia & Pacific,Upper middle income,TO,2010/11,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2006,,,,,,2011,
TUN,Tunisia,Tunisia,Republic of Tunisia,TN,Tunisian dinar,"April 2012 database update: Based on data from the Central Bank and its Statistical Bulletin, national accounts data were revised for 1997 onward.",Middle East & North Africa,Upper middle income,TN,1990,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2010",,2004,2006,2011,2001
TUR,Turkey,Turkey,Republic of Turkey,TR,New Turkish lira,,Europe & Central Asia,Upper middle income,TR,1998,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2003","Labor force survey (LFS), 2009",,,2008,2011,2003
TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,New Turkmen manat,"On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).",Europe & Central Asia,Upper middle income,TM,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,"1987–95, 1997–2007",,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,,,2012,"Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 1998",Yes,,,2000,2004
UGA,Uganda,Uganda,Republic of Uganda,UG,Ugandan shilling,"Fiscal year end: June 30; reporting period for national accounts data: FY. In 2011, the Bureau of Statistics revised national accounts series for 1998 onward; the base year for constant price series changed to 2001/02.",Sub-Saharan Africa,Low income,UG,2001/02,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2009/10",,2008,2000,2011,2002
UKR,Ukraine,Ukraine,Ukraine,UA,Ukrainian hryvnia,,Europe & Central Asia,Lower middle income,UA,Original chained constant price data are rescaled.,2003,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2001,"Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2009",Yes,2012/13,2004,2011,2005
UMC,Upper middle income,Upper middle income,Upper middle income,XT,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2012 GNI per capita was between $4,086 and $12,615.",,,XT,,,,,,,,,,,,,,,,,,,,,
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,Uzbek sum,,Europe & Central Asia,Lower middle income,UZ,Original chained constant price data are rescaled.,1997,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1990–95,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,,1989,"Multiple Indicator Cluster Survey (MICS), 2006","Expenditure survey/budget survey (ES/BS), 2003",Yes,,,,2005
VUT,Vanuatu,Vanuatu,Republic of Vanuatu,VU,Vanuatu vatu,"Based on official government statistics, value added is measured at producer prices up to 1997 and basic prices from 1998.",East Asia & Pacific,Lower middle income,VU,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2007",,,2007,,2011,
VEN,Venezuela,"Venezuela, RB",República Bolivariana de Venezuela,VE,Venezuelan bolivar fuerte,,Latin America & Caribbean,Upper middle income,VE,1997,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2000","Integrated household survey (IHS), 2011",Yes,2007,,2011,2000
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,VN,Vietnamese dong,"Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.",East Asia & Pacific,Lower middle income,VN,2010,,Value added at producer prices (VAP),Blend,,Country uses the 1993 System of National Accounts methodology.,1991,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2010/11","Integrated household survey (IHS), 2010",Yes,2011,2000,2010,2005
YEM,Yemen,"Yemen, Rep.",Republic of Yemen,YE,Yemeni rial,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward.",Middle East & North Africa,Lower middle income,RY,1990,,Value added at producer prices (VAP),IDA,,Country uses the 1993 System of National Accounts methodology.,1990–96,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2006","Expenditure survey/budget survey (ES/BS), 2005",,,2006,2011,2005
ZMB,Zambia,Zambia,Republic of Zambia,ZM,"Zambian kwacha [Note: On January 1, 2013 the new Zambian kwacha was introduced at a rate of 1000 old kwacha = 1 new kwacha. The WDI database is reported in old kwacha.)",,Sub-Saharan Africa,Lower middle income,ZM,1994,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1990–92,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2007","Integrated household survey (IHS), 2010",,,,2011,2002
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,ZW,U.S. dollar,"Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",Sub-Saharan Africa,Low income,ZW,2009,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,"1991, 1998",2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2010/11","Integrated household survey (IHS), 2003/04",,,,2011,2002
